,year,month,view_type,count,timestamp,is_pagecount
99,2016,03,pagecount_all_views,8827529692.0,2016-03-01,True
100,2016,04,pagecount_all_views,8873620523.0,2016-04-01,True
101,2016,05,pagecount_all_views,8748968139.0,2016-05-01,True
102,2016,06,pagecount_all_views,8347710510.0,2016-06-01,True
103,2016,07,pagecount_all_views,8864627560.0,2016-07-01,True
104,2016,08,pagecount_all_views,,2016-08-01,True
105,2016,09,pagecount_all_views,,2016-09-01,True
106,2016,10,pagecount_all_views,,2016-10-01,True
107,2016,11,pagecount_all_views,,2016-11-01,True
108,2016,12,pagecount_all_views,,2016-12-01,True
109,2017,01,pagecount_all_views,,2017-01-01,True
110,2017,02,pagecount_all_views,,2017-02-01,True
111,2017,03,pagecount_all_views,,2017-03-01,True
112,2017,04,pagecount_all_views,,2017-04-01,True
113,2017,05,pagecount_all_views,,2017-05-01,True
114,2017,06,pagecount_all_views,,2017-06-01,True
115,2017,07,pagecount_all_views,,2017-07-01,True
116,2017,08,pagecount_all_views,,2017-08-01,True
117,2017,09,pagecount_all_views,,2017-09-01,True
118,2017,10,pagecount_all_views,,2017-10-01,True
119,2017,11,pagecount_all_views,,2017-11-01,True
120,2017,12,pagecount_all_views,,2017-12-01,True
121,2018,01,pagecount_all_views,,2018-01-01,True
122,2018,02,pagecount_all_views,,2018-02-01,True
123,2018,03,pagecount_all_views,,2018-03-01,True
124,2018,04,pagecount_all_views,,2018-04-01,True
125,2018,05,pagecount_all_views,,2018-05-01,True
126,2018,06,pagecount_all_views,,2018-06-01,True
127,2018,07,pagecount_all_views,,2018-07-01,True
128,2018,08,pagecount_all_views,,2018-08-01,True
129,2018,09,pagecount_all_views,,2018-09-01,True
130,2018,10,pagecount_all_views,,2018-10-01,True
131,2018,11,pagecount_all_views,,2018-11-01,True
132,2018,12,pagecount_all_views,,2018-12-01,True
133,2019,01,pagecount_all_views,,2019-01-01,True
134,2019,02,pagecount_all_views,,2019-02-01,True
135,2019,03,pagecount_all_views,,2019-03-01,True
136,2019,04,pagecount_all_views,,2019-04-01,True
137,2019,05,pagecount_all_views,,2019-05-01,True
138,2019,06,pagecount_all_views,,2019-06-01,True
139,2019,07,pagecount_all_views,,2019-07-01,True
140,2019,08,pagecount_all_views,,2019-08-01,True
141,2019,09,pagecount_all_views,,2019-09-01,True
142,2019,10,pagecount_all_views,,2019-10-01,True
143,2019,11,pagecount_all_views,,2019-11-01,True
144,2019,12,pagecount_all_views,,2019-12-01,True
145,2020,01,pagecount_all_views,,2020-01-01,True
146,2020,02,pagecount_all_views,,2020-02-01,True
147,2020,03,pagecount_all_views,,2020-03-01,True
148,2020,04,pagecount_all_views,,2020-04-01,True
149,2020,05,pagecount_all_views,,2020-05-01,True
150,2020,06,pagecount_all_views,,2020-06-01,True
151,2020,07,pagecount_all_views,,2020-07-01,True
152,2020,08,pagecount_all_views,,2020-08-01,True
153,2020,09,pagecount_all_views,,2020-09-01,True
154,2020,10,pagecount_all_views,,2020-10-01,True
155,2007,12,pagecount_desktop_views,2998331524.0,2007-12-01,True
156,2008,01,pagecount_desktop_views,4930902570.0,2008-01-01,True
157,2008,02,pagecount_desktop_views,4818393763.0,2008-02-01,True
158,2008,03,pagecount_desktop_views,4955405809.0,2008-03-01,True
159,2008,04,pagecount_desktop_views,5159162183.0,2008-04-01,True
160,2008,05,pagecount_desktop_views,5584691092.0,2008-05-01,True
161,2008,06,pagecount_desktop_views,5712104279.0,2008-06-01,True
162,2008,07,pagecount_desktop_views,5306302874.0,2008-07-01,True
