,rev_id,page,country
142,790028876,Farouk Sharif,Philippines
143,790147995,Idoia Zenarrutzabeitia Beldarrain,Spain
144,791866288,Claybourn – Claiborne – Clayborn family,United States
145,792184018,N. Padmalochanan,India
146,792400552,Marko Selakovic,Serbia
147,792440851,Praveen Agrawal,India
148,792857662,Caleb Crosby,United States
149,792933603,Draft:John Johansson i Gränö,Sweden
150,793280504,Tibor Gaal de Hatvan,Hungary
151,794311724,Chukwuemeka Ihedioha,Nigeria
152,794409906,Gregorei Alexandrovich,Russia
153,794866848,List of Ghana heads of state by age,Ghana
154,794990759,Alfred Moungara Moussotsi,Gabon
155,795588781,Fraz Wahlah,Pakistan
156,796744496,Hovik Jivanyan,Armenia
157,796758810,Stanford Morse,United States
158,797311794,Dan Hilton,Canada
159,797902544,Volodymyr Manzhosov,Ukraine
160,798615865,Jesse Spikes,United States
161,798891126,Maria Hadjipavlou,Cyprus
162,798952867,Darcie Lanthier,Canada
163,799263010,V. Sadasivan,India
164,799540668,Mohd Eekmal Ahmad,Malaysia
165,799880073,Raja Muhammad Akbar Khan,Pakistan
166,799933274,Rich Eychaner,United States
167,800072571,Michael McInerney,Ireland
168,800144885,Craig Huey,United States
169,800299837,Donald Jeffrey Large,United States
170,800471126,Dragan Klaric,Sweden
171,800574730,Bashir Ahmed Sarki,Pakistan
172,800707821,Siddique Nazmul Alam,Bangladesh
173,801177435,Georges Sada,Iraq
174,801306872,Anwara Ali,United Kingdom
175,801536406,Secular and Nationalist Jinnah,Pakistan
176,801563949,Ambedkarism,India
177,801638735,Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates
178,801696196,Abhijit Pandya,United Kingdom
179,801835819,Ouyang Xiu,China
180,802148439,Ali Asghar Khan (politician),Pakistan
181,802302246,List of politicians on Veep,United States
182,802445176,Daniel O'Neill (Royalist),Ireland
183,802475516,Ananda Syahendar Perdana,Indonesia
184,802515929,Ezatullah Mujahid,Afghanistan
185,802765034,Maciej Filip Zegarski,Poland
186,802904214,Bernard Binlin Dadié,Ivorian
187,802937732,Than Htay,Myanmar
188,803413615,Anatoliy Peshko,Ukraine
189,803484030,Kevin Hardwick,United States
190,803784385,David Sparrow,Canada
191,804057093,Iftikhar Ahmed (Swiss lawmaker),Switzerland
192,804118645,João Victor Guedes,Brazil
193,804158476,Kampa Borgoyary,India
194,804473605,Lucia Lucchesi-Ghiselli,Italy
195,804697858,Lib Peck,United Kingdom
196,804791599,Dudley–Winthrop family,United States
197,804941978,Larry A. Kaczala,United States
198,804945338,William M. Rainach,United States
199,804946658,David J. Dwork,United States
200,805031334,Ron Crickenberger,United States
201,805041930,Lav Grigorije Pajkić,Serbia
202,805211553,Richards–Young family,United States
203,805420467,Ian Axton,United Kingdom
204,805697623,Kamrul Hasan Nasim,Bangladesh
205,805788048,Political positions of Pat Buchanan,United States
206,805936041,Hossein Khan Movaghar,Iran
207,805993160,Valeriy Panasenko,Moldova
208,806030859,Edivaldo Holanda Júnior,Brazil
209,806179522,Rajah Alon,Philippines
210,806223655,Golam Mohammad Rabbani,Bangladesh
211,806372496,Mohammed Naguib,Egypt
212,806403304,Phillip Jackson,United States
213,806695084,Rajah Gambang,Philippines
214,806811023,Olajide Awosedo,Nigeria
215,807000274,William McMahon,Australia
216,807161510,Dirtbag Left,United States
217,807196681,Guy Georgias,Zimbabwe
218,807336308,John Rose (Trotskyist),United Kingdom
219,807367030,Jalal Movaghar,Iran
220,807367166,Mohsen Movaghar,Iran
221,807479587,King Gutierrez,Philippines
