,year,month,pagecount_all_views,CountDesktop,CountMobile,ViewsMobile+App,ViewsDesktop,ViewsMobile
126,2018,6,,,,3977766741.0,3278649434.0,3852929134.0
127,2018,7,,,,4266113752.0,3457051589.0,4131876847.0
128,2018,8,,,,4187362161.0,3399130789.0,4055921056.0
129,2018,9,,,,3977120244.0,3433832231.0,3853821210.0
130,2018,10,,,,4073789753.0,3640606578.0,3948395290.0
131,2018,11,,,,4033380040.0,3448616562.0,3909638746.0
132,2018,12,,,,4289054166.0,3379686909.0,4154561156.0
133,2019,1,,,,4597597181.0,3616017826.0,4455807733.0
134,2019,2,,,,4018109995.0,3244921935.0,3894531307.0
135,2019,3,,,,4407290322.0,3439386600.0,4272319868.0
136,2019,4,,,,4261664166.0,3330234244.0,4133563063.0
137,2019,5,,,,4413766230.0,3364959217.0,4278706204.0
138,2019,6,,,,4285985271.0,2986618238.0,4153124189.0
139,2019,7,,,,4557266440.0,3140657554.0,4416225801.0
140,2019,8,,,,4531756543.0,2979881198.0,4390689571.0
141,2019,9,,,,4437958209.0,3061362632.0,4304039321.0
142,2019,10,,,,4506591862.0,3588403486.0,4369199633.0
143,2019,11,,,,4471241664.0,3252465442.0,4333221742.0
144,2019,12,,,,4554269292.0,3097051994.0,4405350928.0
145,2020,1,,,,4832149630.0,3440480235.0,4672173634.0
146,2020,2,,,,4418801212.0,3176520359.0,4275204671.0
147,2020,3,,,,4686270555.0,3412498274.0,4537280755.0
148,2020,4,,,,5505741941.0,3798372613.0,5332822293.0
149,2020,5,,,,5231700095.0,3078093615.0,5089055354.0
150,2020,6,,,,4573975256.0,2721328557.0,4552042163.0
151,2020,7,,,,4809714465.0,2638936132.0,4675166579.0
152,2020,8,,,,4803308661.0,2613058239.0,4647875180.0
153,2020,9,,,,4492250780.0,2661783500.0,4345048664.0
154,2020,10,,,,4736574361.0,3041724497.0,4575206000.0
